Symbol,Date,Close
ADBE,4/27/2017,133.38
ADBE,4/28/2017,133.74
ADBE,5/1/2017,135.11
ADBE,5/2/2017,135
ADBE,5/3/2017,134.85
ADBE,5/4/2017,134.61
ADBE,5/5/2017,134.84
ADBE,5/8/2017,135.12
ADBE,5/9/2017,135.6
ADBE,5/10/2017,136.15
ADBE,5/11/2017,136.29
ADBE,5/12/2017,136.84
ADBE,5/15/2017,137.6
ADBE,5/16/2017,138.03
ADBE,5/17/2017,134.33
ADBE,5/18/2017,134.54
ADBE,5/19/2017,136.43
ADBE,5/22/2017,138.86
ADBE,5/23/2017,139.52
ADBE,5/24/2017,141.12
ADBE,5/25/2017,142.85
ADBE,5/26/2017,141.89
ADBE,5/30/2017,142.41
ADBE,5/31/2017,141.86
ADBE,6/1/2017,141.38
ADBE,6/2/2017,143.48
ADBE,6/5/2017,143.59
ADBE,6/6/2017,143.03
ADBE,6/7/2017,143.62
ADBE,6/8/2017,142.63
ADBE,6/9/2017,138.05
ADBE,6/12/2017,137.25
ADBE,6/13/2017,139.09
ADBE,6/14/2017,138.25
ADBE,6/15/2017,137.52
ADBE,6/16/2017,137.84
ADBE,6/19/2017,140.35
ADBE,6/20/2017,140.91
ADBE,6/21/2017,144.24
ADBE,6/22/2017,143.69
ADBE,6/23/2017,145.41
ADBE,6/26/2017,144.96
ADBE,6/27/2017,142.54
ADBE,6/28/2017,143.81
ADBE,6/29/2017,141.24
ADBE,6/30/2017,141.44
ADBE,7/3/2017,138.41
ADBE,7/5/2017,141.21
ADBE,7/6/2017,140.75
ADBE,7/7/2017,142.22
ADBE,7/10/2017,143.34
ADBE,7/11/2017,142.93
ADBE,7/12/2017,145.91
ADBE,7/13/2017,145.05
ADBE,7/14/2017,146.16
ADBE,7/17/2017,146.4
ADBE,7/18/2017,147.89
ADBE,7/19/2017,148.92
ADBE,7/20/2017,149.94
ADBE,7/21/2017,149.52
ADBE,7/24/2017,149.53
ADBE,7/25/2017,148.21
ADBE,7/26/2017,149.78
ADBE,7/27/2017,146.2
ADBE,7/28/2017,146.73
ADBE,7/31/2017,146.49
ADBE,8/1/2017,147.36
ADBE,8/2/2017,147.13
ADBE,8/3/2017,147.79
ADBE,8/4/2017,147.71
ADBE,8/7/2017,148.44
ADBE,8/8/2017,147.81
ADBE,8/9/2017,148.35
ADBE,8/10/2017,144.92
ADBE,8/11/2017,146.47
ADBE,8/14/2017,149.16
ADBE,8/15/2017,150.36
ADBE,8/16/2017,151.8
ADBE,8/17/2017,148.23
ADBE,8/18/2017,147.97
ADBE,8/21/2017,149.26
ADBE,8/22/2017,152.25
ADBE,8/23/2017,151.1
ADBE,8/24/2017,150.81
ADBE,8/25/2017,151.45
ADBE,8/28/2017,151.79
ADBE,8/29/2017,152.14
ADBE,8/30/2017,153.67
ADBE,8/31/2017,155.16
ADBE,9/1/2017,155.06
ADBE,9/5/2017,154.28
ADBE,9/6/2017,153.76
ADBE,9/7/2017,155.47
ADBE,9/8/2017,155.34
ADBE,9/11/2017,156.87
ADBE,9/12/2017,156.31
ADBE,9/13/2017,156.24
ADBE,9/14/2017,154.95
ADBE,9/15/2017,154.49
ADBE,9/18/2017,155.77
ADBE,9/19/2017,156.6
ADBE,9/20/2017,149.96
ADBE,9/21/2017,149.3
ADBE,9/22/2017,148.5
ADBE,9/25/2017,144.57
ADBE,9/26/2017,145.4
ADBE,9/27/2017,146.43
ADBE,9/28/2017,146.83
ADBE,9/29/2017,149.18
ADBE,10/2/2017,147.94
ADBE,10/3/2017,148.6
ADBE,10/4/2017,147.95
ADBE,10/5/2017,150.25
ADBE,10/6/2017,151.12
ADBE,10/9/2017,151.5
ADBE,10/10/2017,152.15
ADBE,10/11/2017,153.65
ADBE,10/12/2017,153.61
ADBE,10/13/2017,153.93
ADBE,10/16/2017,150.46
ADBE,10/17/2017,150.38
ADBE,10/18/2017,153
ADBE,10/19/2017,171.73
ADBE,10/20/2017,175.64
ADBE,10/23/2017,172.16
ADBE,10/24/2017,171.58
ADBE,10/25/2017,171.83
ADBE,10/26/2017,173.75
ADBE,10/27/2017,177.33
ADBE,10/30/2017,176.03
ADBE,10/31/2017,175.16
ADBE,11/1/2017,176.25
ADBE,11/2/2017,180.94
ADBE,11/3/2017,182.3
ADBE,11/6/2017,180.8
ADBE,11/7/2017,180.88
ADBE,11/8/2017,184.06
ADBE,11/9/2017,181.92
ADBE,11/10/2017,181.72
ADBE,11/13/2017,181.85
ADBE,11/14/2017,181.32
ADBE,11/15/2017,180.08
ADBE,11/16/2017,182.3
ADBE,11/17/2017,182.24
ADBE,11/20/2017,182.34
ADBE,11/21/2017,184.15
ADBE,11/22/2017,182.9
ADBE,11/24/2017,184.46
ADBE,11/27/2017,185
ADBE,11/28/2017,185.4
ADBE,11/29/2017,176.85
ADBE,11/30/2017,181.47
ADBE,12/1/2017,179.52
ADBE,12/4/2017,168.44
ADBE,12/5/2017,167.54
ADBE,12/6/2017,173.52
ADBE,12/7/2017,174.61
ADBE,12/8/2017,173.57
ADBE,12/11/2017,174.31
ADBE,12/12/2017,172.54
ADBE,12/13/2017,176.83
ADBE,12/14/2017,175
ADBE,12/15/2017,177.51
ADBE,12/18/2017,176.74
ADBE,12/19/2017,174.97
ADBE,12/20/2017,174.25
ADBE,12/21/2017,174.56
ADBE,12/22/2017,175
ADBE,12/26/2017,174.44
ADBE,12/27/2017,175.36
ADBE,12/28/2017,175.55
ADBE,12/29/2017,175.24
ADBE,1/2/2018,177.7
ADBE,1/3/2018,181.04
ADBE,1/4/2018,183.22
ADBE,1/5/2018,185.34
ADBE,1/8/2018,185.04
ADBE,1/9/2018,186.7
ADBE,1/10/2018,187.11
ADBE,1/11/2018,188.92
ADBE,1/12/2018,195.05
ADBE,1/16/2018,192.46
ADBE,1/17/2018,196.49
ADBE,1/18/2018,196.2
ADBE,1/19/2018,195.73
ADBE,1/22/2018,197.84
ADBE,1/23/2018,200.09
ADBE,1/24/2018,197.78
ADBE,1/25/2018,197.51
ADBE,1/26/2018,201.3
ADBE,1/29/2018,198.23
ADBE,1/30/2018,196.9
ADBE,1/31/2018,199.76
ADBE,2/1/2018,199.38
ADBE,2/2/2018,195.64
ADBE,2/5/2018,190.27
ADBE,2/6/2018,194.47
ADBE,2/7/2018,192.34
ADBE,2/8/2018,185.16
ADBE,2/9/2018,187.99
ADBE,2/12/2018,192.15
ADBE,2/13/2018,193.48
ADBE,2/14/2018,197.13
ADBE,2/15/2018,202.97
ADBE,2/16/2018,201.56
ADBE,2/20/2018,202.98
ADBE,2/21/2018,202.09
ADBE,2/22/2018,202.61
ADBE,2/23/2018,209.74
ADBE,2/26/2018,212.15
ADBE,2/27/2018,208.82
ADBE,2/28/2018,209.13
ADBE,3/1/2018,206.03
ADBE,3/2/2018,209.79
ADBE,3/5/2018,211.16
ADBE,3/6/2018,212.01
ADBE,3/7/2018,216.86
ADBE,3/8/2018,216.4
ADBE,3/9/2018,221.11
ADBE,3/12/2018,220.94
ADBE,3/13/2018,219.76
ADBE,3/14/2018,218.44
ADBE,3/15/2018,218.87
ADBE,3/16/2018,225.55
ADBE,3/19/2018,222.18
ADBE,3/20/2018,229.75
ADBE,3/21/2018,226.85
ADBE,3/22/2018,220.52
ADBE,3/23/2018,215.02
ADBE,3/26/2018,228.91
ADBE,3/27/2018,213.8
